FIPS,State,County,Diabetes Prevalence - % Adults with Diabetes,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Uninsured Adults,% Uninsured Adults,# Uninsured Children,% Uninsured Children,Median Household Income,Household Income (AIAN),Household Income (Asian),Household Income (Black),Household Income (Hispanic),Household Income (White),% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",
26107,Michigan,Mecosta,10,24,63,6550,15,6577,15,,,2375,10,291,4,52481,40795,68750,20938,26688,49644,59,56,42,20,10,81
26109,Michigan,Menominee,10,7,35,2760,12,1284,5,,,1107,9,177,4,57421,37386,,47500,76250,52752,56,,35,10,10,82
26111,Michigan,Midland,9,38,53,9530,11,3951,5,36,14,3153,6,490,3,68054,57788,98098,56852,59339,67713,39,55,38,47,10,88
26113,Michigan,Missaukee,10,6,47,2130,14,257,2,,,906,11,150,4,51151,,,,63125,50665,62,,54,11,12,85
26115,Michigan,Monroe,9,109,85,18550,12,4886,3,139,31,5568,6,816,2,66179,,84593,39186,79375,68319,44,53,41,70,9,86
26117,Michigan,Montcalm,10,37,69,8630,14,661,1,28,15,3133,9,461,3,55735,,,47828,51514,55647,65,66,40,23,6,82
26119,Michigan,Montmorency,10,11,132,1650,18,116,1,,,432,9,57,4,44500,31696,,,,44269,64,,43,4,12,81
26121,Michigan,Muskegon,11,193,132,24540,14,29827,17,157,30,7242,7,917,2,55410,37011,59453,32558,69055,61471,63,72,43,80,8,85
26123,Michigan,Newaygo,10,29,70,7000,14,860,2,16,11,2630,9,390,4,57840,,,34299,62869,54242,62,63,40,24,9,80
26125,Michigan,Oakland,9,2160,201,134340,11,52554,4,556,15,45360,6,4916,2,86597,61488,116866,54967,72571,90525,33,66,45,581,9,92
26127,Michigan,Oceana,11,8,35,3670,14,1161,4,10,13,1882,13,308,5,56533,66875,,,56841,56439,78,,35,15,11,80
26129,Michigan,Ogemaw,11,10,55,3560,17,5,0,20,32,1184,10,154,4,45186,21076,108643,,78250,44036,68,,40,7,8,83
